Number,last_meal,cookie_order,treatment,taste,texture,1st Choice,2nd Choice,tester
1,12,123,control,7,6,1,2,Chloe
2,4,213,control,8,6,1,2,Chloe
3,2,321,control,7,8,2,3,Chloe
4,2,231,control,9,8,1,3,Chloe
5,2,312,control,8,6,2,3,Chloe
6,14,132,control,8,7,3,2,Chloe
7,15,231,control,5,9,2,1,Chloe
8,15,123,control,9,10,1,2,Chloe
9,15,321,control,7,6,2,1,Chloe
10,15,321,control,7.5,6,2,1,Chloe
11,2,132,control,8,8,2,1,Chloe
12,2,312,control,5,7,3,2,Chloe
13,1,321,control,10,6,3,1,Chloe
14,0,231,control,9,10,1,2,Chloe
15,15,123,control,9,9,3,1,Chloe
16,14,132,control,8,5,3,2,Chloe
17,4.5,312,control,7,7,2,1,Chloe
18,0,213,control,7,7,3,1,Chloe
19,3,123,control,10,10,2,1,Chloe
20,16,231,control,9,8,1,3,Chloe
21,1,312,control,8,9,1,2,Chloe
22,0,213,control,8,9,3,1,Chloe
23,3,123,control,9,9,3,1,Lilly
24,3,213,control,6,10,2,3,Lilly
25,3,321,control,10,10,2,3,Lilly
26,4,231,control,9,9,1,2,Lilly
27,14,312,control,6,7,2,3,Lilly
28,4,132,control,8,7,1,2,Lilly
29,2,231,control,8,8,1,2,Lilly
30,2.5,123,control,8,8,3,2,Lilly
31,5,321,control,7,7,2,1,Lilly
32,3.5,123,control,8,8,1,2,Lilly
33,0,132,control,5,4,3,2,Lilly
34,2,312,control,6,6,2,3,Lilly
35,15,321,control,8,8,3,1,Lilly
36,2,231,control,8,8,1,2,Lilly
37,4,123,control,8,8,3,1,Lilly
38,2,132,control,5,6,2,1,Lilly
39,13,312,control,8,9,3,2,Lilly
40,4.5,213,control,5,4,2,3,Lilly
41,14,123,control,8,8,,,Lilly
42,5,213,control,8,8,3,1,Lilly
43,4.5,312,control,6,8,2,3,Lilly
44,2,213,control,8,8,3,1,Lilly
45,2,132,control,7,6,3,2,Lilly
46,3.5,321,control,8,8,2,1,Lilly
47,4,213,control,7,5,3,2,Lilly
48,0,132,control,9,9,1,2,Lilly
49,15,312,control,9,10,3,1,Lilly
50,2,123,control,8,6,3,1,Lilly
51,0,231,control,8,7,1,2,Lilly
52,,123,control,9,8,2,3,Shawn
53,3.5,213,control,9,7,1,3,Shawn
54,3,321,control,8,7,1,2,Shawn
55,15,231,control,9,10,1,2,Shawn
56,17,312,control,8,7,2,1,Shawn
57,3.5,132,control,7,7,2,1,Shawn
58,15,231,control,8,9,1,3,Shawn
59,19.5,123,control,8,3,2,3,Shawn
60,2,321,control,10,9,3,1,Shawn
61,3.5,213,control,8,7,3,1,Shawn
62,0.5,132,control,9,9,1,3,Shawn
63,5,312,control,9,8,3,2,Shawn
64,2.5,321,control,4,5,2,3,Shawn
65,4,231,control,8,7,2,3,Shawn
66,3,123,control,8,8,1,2,Shawn
67,4,132,control,8,9,2,3,Shawn
68,3,123,control,9,9,2,1,Shawn
69,22.5,213,control,9,7,1,2,Shawn
70,4.5,123,control,8,9,3,2,Shawn
71,4.5,231,control,10,10,3,1,Shawn
72,3,312,control,8,6,1,2,Shawn
73,4,213,control,7,6,3,1,Shawn
74,4.5,132,control,8,9,1,2,Shawn
75,2,312,control,8,9,1,3,Shawn
76,6,213,control,5,7,3,2,Shawn
77,4.5,312,control,9,10,1,3,Shawn
78,3.5,123,control,8,7,1,3,Dogukan
79,16,213,control,8,8,3,2,Dogukan
80,2.5,321,control,10,7.5,1,2,Dogukan
81,2.5,231,control,9,10,3,1,Dogukan
82,15,312,control,8,8,2,1,Dogukan
83,2,132,control,7.5,9.5,3,2,Dogukan
84,17.5,231,control,9,9,1,2,Dogukan
85,14.5,123,control,9.5,9,3,2,Dogukan
86,1.5,321,control,9.5,7,2,1,Dogukan
87,2.5,213,control,7,7,2,1,Dogukan
88,4.5,132,control,8,8,3,2,Dogukan
89,16.5,312,control,7,7,1,2,Dogukan
90,18,321,control,7,7,3,2,Dogukan
91,13,231,control,8.5,7.5,1,2,Dogukan
92,3,123,control,7,8,3,1,Dogukan
93,5,132,control,8,7,3,1,Dogukan
94,4,312,control,8,8,3,1,Dogukan
95,1.5,213,control,7,7,2,3,Dogukan
96,4,123,control,9,7.5,1,2,Dogukan
97,4,231,control,4,4,3,1,Dogukan
98,3,312,control,5,7,2,1,Dogukan
99,15,213,control,7,7,1,3,Dogukan
100,4.5,132,control,7,9,1,3,Dogukan
1,12,123,less,6,5,1,2,Chloe
2,4,213,less,8,8,1,2,Chloe
3,2,321,less,9,8,2,3,Chloe
4,2,231,less,6,7,1,3,Chloe
5,2,312,less,9,7,2,3,Chloe
6,14,132,less,8,7,3,2,Chloe
7,15,231,less,5,9,2,1,Chloe
8,15,123,less,9,7,1,2,Chloe
9,15,321,less,7,6,2,1,Chloe
10,15,321,less,7.5,7,2,1,Chloe
11,2,132,less,8,7,2,1,Chloe
12,2,312,less,7,6,3,2,Chloe
13,1,321,less,4,5,3,1,Chloe
14,0,231,less,9,9,1,2,Chloe
15,15,123,less,9,9,3,1,Chloe
16,14,132,less,8,8,3,2,Chloe
17,4.5,312,less,9,5,2,1,Chloe
18,0,213,less,8,6,3,1,Chloe
19,3,123,less,10,10,2,1,Chloe
20,16,231,less,7,6,1,3,Chloe
21,1,312,less,8,8,1,2,Chloe
22,0,213,less,9,8,3,1,Chloe
23,3,123,less,7,9,3,1,Lilly
24,3,213,less,9,10,2,3,Lilly
25,3,321,less,10,10,2,3,Lilly
26,4,231,less,7,7,1,2,Lilly
27,14,312,less,9,9,2,3,Lilly
28,4,132,less,7,9,1,2,Lilly
29,2,231,less,8,7,1,2,Lilly
30,2.5,123,less,9,8,3,2,Lilly
31,5,321,less,8,7,2,1,Lilly
32,3.5,123,less,8,7,1,2,Lilly
33,0,132,less,5,5,3,2,Lilly
34,2,312,less,8,8,2,3,Lilly
35,15,321,less,8,8,3,1,Lilly
36,2,231,less,8,7,1,2,Lilly
37,4,123,less,9,8,3,1,Lilly
38,2,132,less,7,7,2,1,Lilly
39,13,312,less,7,9,3,2,Lilly
40,4.5,213,less,6,6,2,3,Lilly
41,14,123,less,8,8,,,Lilly
42,5,213,less,8,7,3,1,Lilly
43,4.5,312,less,8,9,2,3,Lilly
44,2,213,less,7,9,3,1,Lilly
45,2,132,less,8,8,3,2,Lilly
46,3.5,321,less,9,8,2,1,Lilly
47,4,213,less,8,6,3,2,Lilly
48,0,132,less,8,9,1,2,Lilly
49,15,312,less,6,10,3,1,Lilly
50,2,123,less,7,4,3,1,Lilly
51,0,231,less,8,6,1,2,Lilly
52,,123,less,9,9,2,3,Shawn
53,3.5,213,less,7,8,1,3,Shawn
54,3,321,less,9,9,1,2,Shawn
55,15,231,less,9,10,1,2,Shawn
56,17,312,less,9,9,2,1,Shawn
57,3.5,132,less,8,6,2,1,Shawn
58,15,231,less,8,4,1,3,Shawn
59,19.5,123,less,9,6,2,3,Shawn
60,2,321,less,10,8,3,1,Shawn
61,3.5,213,less,7,8,3,1,Shawn
62,0.5,132,less,9,8,1,3,Shawn
63,5,312,less,9,8,3,2,Shawn
64,2.5,321,less,8,8,2,3,Shawn
65,4,231,less,9,8,2,3,Shawn
66,3,123,less,8,7,1,2,Shawn
67,4,132,less,,,2,3,Shawn
68,3,123,less,9,8,2,1,Shawn
69,22.5,213,less,9,7,1,2,Shawn
70,4.5,123,less,8,10,3,2,Shawn
71,4.5,231,less,8,8,3,1,Shawn
72,3,312,less,7,9,1,2,Shawn
73,4,213,less,7,6,3,1,Shawn
74,4.5,132,less,9,8,1,2,Shawn
75,2,312,less,6,5,1,3,Shawn
76,6,213,less,6,6,3,2,Shawn
77,4.5,312,less,6,7,1,3,Shawn
78,3.5,123,less,6,7,1,3,Dogukan
79,16,213,less,7,9,3,2,Dogukan
80,2.5,321,less,7.5,8.5,1,2,Dogukan
81,2.5,231,less,9,9,3,1,Dogukan
82,15,312,less,9,9,2,1,Dogukan
83,2,132,less,9,9.5,3,2,Dogukan
84,17.5,231,less,8,8,1,2,Dogukan
85,14.5,123,less,9.5,8.5,3,2,Dogukan
86,1.5,321,less,10,9,2,1,Dogukan
87,2.5,213,less,9,7,2,1,Dogukan
88,4.5,132,less,8,7,3,2,Dogukan
89,16.5,312,less,8,6,1,2,Dogukan
90,18,321,less,8.5,7,3,2,Dogukan
91,13,231,less,8,8.5,1,2,Dogukan
92,3,123,less,6,8.5,3,1,Dogukan
93,5,132,less,8,7,3,1,Dogukan
94,4,312,less,7,7,3,1,Dogukan
95,1.5,213,less,8,6,2,3,Dogukan
96,4,123,less,6.5,6.5,1,2,Dogukan
97,4,231,less,3,5,3,1,Dogukan
98,3,312,less,7,5,2,1,Dogukan
99,15,213,less,7,4,1,3,Dogukan
100,4.5,132,less,6,6,1,3,Dogukan
1,12,123,more,6,8,1,2,Chloe
2,4,213,more,7,8,1,2,Chloe
3,2,321,more,9,7,2,3,Chloe
4,2,231,more,8,7,1,3,Chloe
5,2,312,more,7,8,2,3,Chloe
6,14,132,more,8,7,3,2,Chloe
7,15,231,more,8,7,2,1,Chloe
8,15,123,more,7,7,1,2,Chloe
9,15,321,more,7,6,2,1,Chloe
10,15,321,more,7.5,5,2,1,Chloe
11,2,132,more,7,7,2,1,Chloe
12,2,312,more,6,7,3,2,Chloe
13,1,321,more,10,8,3,1,Chloe
14,0,231,more,8,7,1,2,Chloe
15,15,123,more,9,9,3,1,Chloe
16,14,132,more,8,9,3,2,Chloe
17,4.5,312,more,5,7,2,1,Chloe
18,0,213,more,8,7,3,1,Chloe
19,3,123,more,10,8,2,1,Chloe
20,16,231,more,8,6,1,3,Chloe
21,1,312,more,6,6,1,2,Chloe
22,0,213,more,10,9,3,1,Chloe
23,3,123,more,9,9,3,1,Lilly
24,3,213,more,8,8,2,3,Lilly
25,3,321,more,10,10,2,3,Lilly
26,4,231,more,6,6,1,2,Lilly
27,14,312,more,8,10,2,3,Lilly
28,4,132,more,7,8,1,2,Lilly
29,2,231,more,6,7,1,2,Lilly
30,2.5,123,more,9,9,3,2,Lilly
31,5,321,more,8,5,2,1,Lilly
32,3.5,123,more,7,7,1,2,Lilly
33,0,132,more,6,6,3,2,Lilly
34,2,312,more,8,6,2,3,Lilly
35,15,321,more,8,8,3,1,Lilly
36,2,231,more,7,8,1,2,Lilly
37,4,123,more,10,10,3,1,Lilly
38,2,132,more,7,6,2,1,Lilly
39,13,312,more,7,8,3,2,Lilly
40,4.5,213,more,4,5,2,3,Lilly
41,14,123,more,8,8,,,Lilly
42,5,213,more,9,8,3,1,Lilly
43,4.5,312,more,7,6,2,3,Lilly
44,2,213,more,9,9,3,1,Lilly
45,2,132,more,9,9,3,2,Lilly
46,3.5,321,more,8,7,2,1,Lilly
47,4,213,more,9,8,3,2,Lilly
48,0,132,more,7,6,1,2,Lilly
49,15,312,more,10,10,3,1,Lilly
50,2,123,more,7,6,3,1,Lilly
51,0,231,more,7,7,1,2,Lilly
52,,123,more,9,9,2,3,Shawn
53,3.5,213,more,9,8,1,3,Shawn
54,3,321,more,9,10,1,2,Shawn
55,15,231,more,7,10,1,2,Shawn
56,17,312,more,6,7,2,1,Shawn
57,3.5,132,more,6,5,2,1,Shawn
58,15,231,more,8,7,1,3,Shawn
59,19.5,123,more,8,5,2,3,Shawn
60,2,321,more,10,10,3,1,Shawn
61,3.5,213,more,9,8,3,1,Shawn
62,0.5,132,more,9,8,1,3,Shawn
63,5,312,more,9,9,3,2,Shawn
64,2.5,321,more,7,5,2,3,Shawn
65,4,231,more,7,7,2,3,Shawn
66,3,123,more,7,7,1,2,Shawn
67,4,132,more,10,10,2,3,Shawn
68,3,123,more,9,9,2,1,Shawn
69,22.5,213,more,9,7,1,2,Shawn
70,4.5,123,more,10,10,3,2,Shawn
71,4.5,231,more,10,10,3,1,Shawn
72,3,312,more,7,8,1,2,Shawn
73,4,213,more,7.5,6.75,3,1,Shawn
74,4.5,132,more,9,7,1,2,Shawn
75,2,312,more,7,8,1,3,Shawn
76,6,213,more,8,8,3,2,Shawn
77,4.5,312,more,8,7,1,3,Shawn
78,3.5,123,more,7,8,1,3,Dogukan
79,16,213,more,9,9,3,2,Dogukan
80,2.5,321,more,9,8,1,2,Dogukan
81,2.5,231,more,10,10,3,1,Dogukan
82,15,312,more,6,8,2,1,Dogukan
83,2,132,more,9.5,9,3,2,Dogukan
84,17.5,231,more,7,9,1,2,Dogukan
85,14.5,123,more,8.5,8.5,3,2,Dogukan
86,1.5,321,more,8.5,8,2,1,Dogukan
87,2.5,213,more,8,7,2,1,Dogukan
88,4.5,132,more,9,9,3,2,Dogukan
89,16.5,312,more,6,8,1,2,Dogukan
90,18,321,more,9,8.5,3,2,Dogukan
91,13,231,more,7.5,5,1,2,Dogukan
92,3,123,more,8,7,3,1,Dogukan
93,5,132,more,9,8,3,1,Dogukan
94,4,312,more,9,9,3,1,Dogukan
95,1.5,213,more,7,8,2,3,Dogukan
96,4,123,more,9,6.5,1,2,Dogukan
97,4,231,more,6,5,3,1,Dogukan
98,3,312,more,5,5,2,1,Dogukan
99,15,213,more,7,8,1,3,Dogukan
100,4.5,132,more,8,7,1,3,Dogukan
